Feature1,Feature2,Feature3,Feature4,Feature5,y
-0.9438044547,-1.535591367,-0.8684491145,0.9065268166,1.384668968,0
-0.5694223496,-1.728070943,1.577764765,0.4290320584,-0.5726712908,0
0.4748316502,0.03819529112,1.302149775,0.3725356179,1.389770063,1
-0.2317662231,0.2885718795,-0.1873938281,0.0654781532,0.5899345673,0
0.1398223336,-0.9416718977,0.6435084822,0.02636162039,-1.059811943,0
-0.9278962788,1.852542435,-0.8396942826,-0.9757468382,-1.24549524,1
-0.5428083003,-1.019404529,0.4253315976,0.02050393818,-1.176257119,0
1.168855334,-2.231779007,-0.2117618607,1.331282339,2.06205549,0
-0.04499079978,-0.3743560548,2.493097381,0.06381823963,-0.229046182,0
-0.4062395289,-0.8040018473,-1.314343147,0.1602868099,-0.4081992533,0
0.6001723695,1.522124965,-1.101972853,-0.2887560466,0.8257761467,1
-0.3635963905,-2.061630296,-0.4823869603,0.5584521564,-0.5152018021,0
0.7015640241,-1.317779555,0.1370330598,0.3533664126,-0.3422628906,0
0.09945365414,-1.185046866,0.6506122152,0.6727972474,0.9720114704,0
0.5871166696,0.07937730378,-0.861299662,0.3299361338,1.286710588,1
0.06742786216,-1.389776738,0.4195154203,0.6455353175,0.622661565,0
0.6775994866,-1.026056975,-1.612510819,0.03424027193,-1.134898322,0
2.020753132,-0.951605979,-0.136429638,0.01080097547,-1.128088348,0
-0.8456956679,1.723741618,1.087217568,-0.8984388036,-1.124770617,1
0.06045603556,-1.111431915,1.209815871,0.4148982217,0.1326081662,0
0.002895077117,-0.7851358945,-0.6004581099,0.1005905866,-0.6002574212,0
-0.0113471995,-0.9332590061,-0.4926904081,-0.1028201606,-1.515173239,0
-0.6536458992,-1.044164274,0.5864602691,-0.09999594934,-1.641003677,0
-0.1396878674,-0.8679670381,0.2931602212,0.2547436164,-0.1461435122,0
0.2156217721,-1.029793014,-0.1403034807,0.04868158279,-1.087421598,0
0.1393082685,0.01917824202,-0.9442945936,0.5784164223,2.108613812,0
-0.4183522117,-0.5773408042,1.655046477,0.5734738028,1.359241538,0
-1.102671683,-0.1951670736,-0.8763069485,0.2203513123,0.5549818357,0
-0.5673989665,-0.765071252,1.136108653,0.7975100676,1.936627088,0
0.7963272871,-0.9351810899,-0.06995319521,0.1950763902,-0.4436633598,0
0.06629298247,0.3655750919,-0.4279051506,0.2257342322,1.262065512,1
-0.5283118208,0.8028394497,0.4383626251,0.02054913834,1.058656965,1
-0.5849793266,-2.412980756,-0.2730338523,1.099505687,1.004318595,0
-0.1513542064,-1.379764064,1.488679292,-0.1291041425,-2.157504412,0
0.2909956583,-0.7227413185,0.0915865191,0.4091143005,0.5884378246,0
-2.554118117,-0.8887183211,0.2015798385,0.3008388331,-0.005426808769,0
-0.2630530442,-0.4251935612,-0.6273903703,0.4294056505,1.026489326,0
2.472620258,0.03216853613,0.07378524857,0.355712159,1.321733266,1
-0.6790843314,-0.8571066475,-0.6998531864,-0.01538368508,-1.106588209,0
-0.8638200191,2.59215358,-0.1821651432,-0.7737249389,0.3897990755,1
-1.605952916,-0.1701007094,-0.242733946,0.4424079239,1.386199371,1
-1.319491851,-1.106922996,-0.1195861315,0.03993114561,-1.213555597,0
0.5790861073,1.501063914,-1.101220912,-0.2897072132,0.7965186434,1
-0.292587789,-0.8688189393,0.8927345672,0.1887605765,-0.3850460464,0
